"Time","Voltage"
"(ms)","(mV)"
,
"13.791025000176932","5.411427"
"13.791050000176932","5.412953"
"13.791075000176933","5.414479"
"13.791100000176934","5.416005"
"13.791125000176935","5.417531"
"13.791150000176936","5.419057"
"13.791175000176937","5.420583"
"13.791200000176937","5.420583"
"13.791225000176938","5.42211"
"13.79125000017694","5.423635"
"13.79127500017694","5.425162"
"13.79130000017694","5.426688"
"13.791325000176942","5.428214"
"13.791350000176942","5.42974"
"13.791375000176943","5.431266"
"13.791400000176944","5.432792"
"13.791425000176945","5.432792"
"13.791450000176946","5.434318"
"13.791475000176947","5.435844"
"13.791500000176947","5.43737"
"13.791525000176948","5.438896"
"13.791550000176949","5.440423"
"13.79157500017695","5.441948"
"13.79160000017695","5.443474"
"13.791625000176952","5.445"
"13.791650000176952","5.446527"
"13.791675000176953","5.448053"
"13.791700000176954","5.449579"
"13.791725000176955","5.451105"
"13.791750000176956","5.452631"
"13.791775000176957","5.454157"
"13.791800000176957","5.454157"
"13.791825000176958","5.455683"
"13.791850000176959","5.457209"
"13.79187500017696","5.458735"
"13.79190000017696","5.460261"
"13.791925000176962","5.461787"
"13.791950000176962","5.463314"
"13.791975000176963","5.464839"
"13.792000000176964","5.466365"
"13.792025000176965","5.467891"
"13.792050000176966","5.469418"
"13.792075000176967","5.470944"
"13.792100000176967","5.47247"
"13.792125000176968","5.473996"
"13.792150000176969","5.475522"
"13.79217500017697","5.475522"
"13.79220000017697","5.477048"
"13.792225000176972","5.478574"
"13.792250000176972","5.4801"
"13.792275000176973","5.481626"
"13.792300000176974","5.483152"
"13.792325000176975","5.483152"
"13.792350000176976","5.484678"
"13.792375000176976","5.486205"
"13.792400000176977","5.487731"
"13.792425000176978","5.489256"
"13.792450000176979","5.490782"
"13.79247500017698","5.492309"
"13.79250000017698","5.493835"
"13.792525000176981","5.495361"
"13.792550000176982","5.496887"
"13.792575000176983","5.498413"
"13.792600000176984","5.499939"
"13.792625000176985","5.501465"
"13.792650000176986","5.502991"
"13.792675000176986","5.506043"
