"Time","Voltage"
"(ms)","(mV)"
,
"8.361249999987184","4.981077"
"8.361299999987184","4.984129"
"8.361349999987183","4.987181"
"8.361399999987183","4.990233"
"8.361449999987183","4.993285"
"8.361499999987183","4.996337"
"8.361549999987183","4.99939"
"8.361599999987183","5.003967"
"8.361649999987183","5.00702"
"8.361699999987183","5.010072"
"8.361749999987182","5.013124"
"8.361799999987182","5.016176"
"8.361849999987182","5.019228"
"8.361899999987182","5.022281"
"8.361949999987182","5.025332"
"8.361999999987182","5.028385"
"8.362049999987182","5.031437"
"8.362099999987182","5.034489"
"8.362149999987182","5.037541"
"8.362199999987181","5.040593"
"8.362249999987181","5.043645"
"8.362299999987181","5.048223"
"8.362349999987181","5.051276"
"8.362399999987181","5.054328"
"8.36244999998718","5.05738"
"8.36249999998718","5.060432"
"8.36254999998718","5.06501"
"8.36259999998718","5.068062"
"8.36264999998718","5.071115"
"8.36269999998718","5.074167"
"8.36274999998718","5.077219"
"8.36279999998718","5.080271"
"8.36284999998718","5.083323"
"8.36289999998718","5.086375"
"8.36294999998718","5.089427"
"8.36299999998718","5.092479"
"8.36304999998718","5.095531"
"8.36309999998718","5.098584"
"8.36314999998718","5.101636"
"8.36319999998718","5.104688"
"8.363249999987179","5.109266"
"8.363299999987179","5.112319"
"8.363349999987179","5.11537"
"8.363399999987179","5.119949"
"8.363449999987179","5.123001"
"8.363499999987178","5.127579"
"8.363549999987178","5.132157"
"8.363599999987178","5.136735"
"8.363649999987178","5.139787"
"8.363699999987178","5.144366"
"8.363749999987178","5.148944"
"8.363799999987178","5.151996"
"8.363849999987178","5.155048"
"8.363899999987177","5.159626"
"8.363949999987177","5.162678"
"8.363999999987177","5.165731"
"8.364049999987177","5.168783"
"8.364099999987177","5.171834"
"8.364149999987177","5.176413"
"8.364199999987177","5.179465"
"8.364249999987177","5.182518"
"8.364299999987177","5.187095"
"8.364349999987176","5.190148"
"8.364399999987176","5.1932"
"8.364449999987176","5.196252"
"8.364499999987176","5.20083"
"8.364549999987176","5.203882"
